id,name,origin,temperament,life_span,image_url
abys,Abyssinian,Egypt,"Active, Energetic, Independent, Intelligent, Gentle",14 - 15,https://cdn2.thecatapi.com/images/MJWtDz75E.jpg
aege,Aegean,Greece,"Affectionate, Social, Intelligent, Playful, Active",9 - 12,https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg
abob,American Bobtail,United States,"Intelligent, Interactive, Lively, Playful, Sensitive",11 - 15,https://cdn2.thecatapi.com/images/hBXicehMA.jpg
acur,American Curl,United States,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",12 - 16,https://cdn2.thecatapi.com/images/ZZmFRKWZZ.jpg
asho,American Shorthair,United States,"Active, Curious, Easy Going, Playful, Calm",15 - 17,https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg
awir,American Wirehair,United States,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",14 - 18,https://cdn2.thecatapi.com/images/bTo6m3PVg.jpg
amau,Arabian Mau,United Arab Emirates,"Affectionate, Agile, Curious, Independent, Playful, Loyal",12 - 14,https://cdn2.thecatapi.com/images/mnD88Lsjd.jpg
amis,Australian Mist,Australia,"Lively, Social, Fun-loving, Relaxed, Affectionate",12 - 16,https://cdn2.thecatapi.com/images/7-1CtKMRr.jpg
bali,Balinese,United States,"Affectionate, Intelligent, Playful",10 - 15,https://cdn2.thecatapi.com/images/FJ89mXP4p.jpg
bamb,Bambino,United States,"Affectionate, Lively, Friendly, Intelligent",12 - 14,https://cdn2.thecatapi.com/images/MizM7dBMU.jpg
beng,Bengal,United States,"Alert, Agile, Energetic, Demanding, Intelligent",12 - 15,https://cdn2.thecatapi.com/images/H_UWbOfra.jpg
birm,Birman,France,"Affectionate, Active, Gentle, Social",14 - 15,https://cdn2.thecatapi.com/images/Dm0H1zSK1.jpg
bomb,Bombay,United States,"Affectionate, Dependent, Gentle, Intelligent, Playful",12 - 16,https://cdn2.thecatapi.com/images/Z6mrcccZv.jpg
bslo,British Longhair,United Kingdom,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",12 - 14,https://cdn2.thecatapi.com/images/laq3GvUgh.jpg
bsho,British Shorthair,United Kingdom,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",12 - 17,https://cdn2.thecatapi.com/images/N8bl5RjPG.jpg
bure,Burmese,Burma,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",15 - 16,https://cdn2.thecatapi.com/images/Mdr6QqID0.jpg
buri,Burmilla,United Kingdom,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",10 - 15,https://cdn2.thecatapi.com/images/wgoLPWPZQ.jpg
cspa,California Spangled,United States,"Affectionate, Curious, Intelligent, Loyal, Social",10 - 14,https://cdn2.thecatapi.com/images/B1ERTmgph.jpg
ctif,Chantilly-Tiffany,United States,"Affectionate, Demanding, Interactive, Loyal",14 - 16,https://cdn2.thecatapi.com/images/TR-5nAd_S.jpg
char,Chartreux,France,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",12 - 15,https://cdn2.thecatapi.com/images/rw09G0crt.jpg
chau,Chausie,Egypt,"Affectionate, Intelligent, Playful, Social",12 - 14,https://cdn2.thecatapi.com/images/ZaZwqFsgj.jpg
chee,Cheetoh,United States,"Affectionate, Gentle, Intelligent, Social",12 - 14,https://cdn2.thecatapi.com/images/LX9uvE3dl.jpg
csho,Colorpoint Shorthair,United States,"Affectionate, Intelligent, Playful, Social",12 - 16,https://cdn2.thecatapi.com/images/lOl0J96On.jpg
crex,Cornish Rex,United Kingdom,"Affectionate, Intelligent, Active, Curious, Playful",11 - 14,https://cdn2.thecatapi.com/images/bAiN3T-rs.jpg
cymr,Cymric,Canada,"Gentle, Loyal, Intelligent, Playful",8 - 14,https://cdn2.thecatapi.com/images/GQ61BDToD.jpg
cypr,Cyprus,Cyprus,"Affectionate, Social",12 - 15,https://cdn2.thecatapi.com/images/cruhNBsv1.jpg
drex,Devon Rex,United Kingdom,"Highly interactive, Mischievous, Loyal, Social, Playful",10 - 15,https://cdn2.thecatapi.com/images/hTswm_D5S.jpg
dons,Donskoy,Russia,"Playful, affectionate, loyal, social",12 - 15,https://cdn2.thecatapi.com/images/Z9zxhFVdw.jpg
lihu,Dragon Li,China,"Intelligent, Friendly, Gentle, Loving, Loyal",12 - 15,https://cdn2.thecatapi.com/images/BQMSld0A0.jpg
emau,Egyptian Mau,Egypt,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",18 - 20,https://cdn2.thecatapi.com/images/2UAyYkzVK.jpg
